arquivo;n;regime;montagem_ms;busca_matricula_ms;busca_nome_ms;remocao_ms
entrada100.txt;100;nao-ordenada;2.2453;0.0204;0.0047;0.0001
entrada100.txt;100;ordenada;1.2647;0.1153;0.0135;0.0000
entrada25000.txt;25000;nao-ordenada;38.7830;3.1523;0.0045;0.0001
entrada25000.txt;25000;ordenada;3704.2532;1.6912;0.0036;0.0001
entrada50000.txt;50000;nao-ordenada;26.2136;5.4522;0.0039;0.0001
entrada50000.txt;50000;ordenada;10180.8016;0.5778;0.0028;0.0000
entrada.txt;100000;nao-ordenada;25.7897;4.5755;3.1082;0.0001
entrada.txt;100000;ordenada;111399.2198;2.6688;2.4528;0.0001
entrada100000.txt;100000;nao-ordenada;61.7740;0.8623;0.8985;0.0001
entrada100000.txt;100000;ordenada;108814.5602;3.0187;2.7397;0.0002
entrada200000.txt;200000;nao-ordenada;53.5662;10.0814;0.0002;0.0001
entrada200000.txt;200000;ordenada;344189.0540;4.4699;0.0001;0.0000
